,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Expected Price ($1k),Year
0,1,1,308,0,32,50.0,2020
1,1,1,73,0,40,15.0,2011
2,1,1,81,0,27,18.0,2015
3,0,1,38,0,45,33.9,2013
4,1,1,238,0,25,41.78,2019
5,0,2,27,34600,18,16.365,2016
6,1,1,259,0,36,31.5,2020
7,1,1,210,0,6,65.0,2016
8,1,1,107,0,1,19.0,2017
9,1,1,84,0,46,27.0,2016
10,1,1,149,0,45,40.0,2020
11,1,1,75,0,48,18.0,2013
12,1,0,0,0,46,39.9,2021
13,0,2,17,0,36,41.5,2022
14,0,1,97,0,36,25.004,2018
15,1,0,0,0,25,73.0,2021
16,0,2,19,0,45,79.596,2020
17,1,1,291,0,10,72.0,2020
18,0,2,18,0,14,39.0,2021
19,0,1,72,0,21,16.0,2014
20,1,1,239,0,28,33.0,2020
21,1,0,0,0,28,64.0,2021
22,1,1,215,0,47,69.0,2018
23,1,1,210,0,48,65.0,2016
24,1,1,111,33950,18,16.251,2018
25,1,1,291,0,45,72.0,2020
26,1,1,210,0,10,65.0,2016
27,1,0,0,0,45,29.998,2017
28,1,0,0,0,45,73.0,2021
29,0,1,53,0,30,20.004,2017
30,1,1,82,0,43,13.9,2016
31,1,1,150,0,1,35.0,2019
32,1,1,293,0,25,102.0,2020
33,0,1,72,0,46,19.0,2016
34,0,1,38,0,12,33.9,2013
35,0,1,42,0,24,54.0,2021
36,1,0,0,0,14,73.0,2021
37,1,0,0,0,43,78.0,2022
38,0,2,21,0,42,40.0,2021
39,1,0,0,0,32,64.0,2021
40,1,0,0,0,43,64.0,2021
41,1,0,0,0,46,29.998,2017
42,0,1,38,0,27,33.9,2013
43,1,0,0,0,5,73.0,2021
44,0,2,25,0,32,40.0,2021
45,1,0,0,0,28,78.0,2022
46,0,1,32,39995,29,38.0,2019
47,0,1,72,0,1,16.0,2014
48,1,1,151,0,37,21.0,2018
49,1,1,151,0,4,21.0,2018
51,1,1,289,0,1,85.0,2019
52,1,1,151,0,31,21.0,2018
53,1,1,249,0,41,69.0,2018
54,0,2,23,0,32,45.6,2022
55,1,1,220,0,5,57.0,2019
56,1,0,0,0,34,73.0,2021
57,1,0,0,0,21,73.0,2021
58,1,1,234,0,40,69.2,2020
59,1,1,238,0,45,20.0,2017
60,1,1,215,0,49,69.0,2018
61,1,1,266,0,1,50.0,2020
63,0,2,19,0,34,14.5,2013
64,0,2,18,0,23,39.0,2021
65,0,2,19,0,32,20.0,2016
66,1,0,0,0,34,64.0,2021
67,0,1,47,0,31,24.283,2018
68,1,1,125,0,37,22.2,2019
69,0,2,14,0,1,36.98,2017
70,1,1,151,0,46,21.0,2018
71,1,1,200,0,41,65.0,2017
72,0,2,27,34600,25,16.365,2016
73,0,2,14,0,10,73.9,2015
74,0,2,19,0,1,15.0,2014
75,1,1,149,0,18,40.0,2020
76,1,1,83,0,7,20.0,2015
77,0,2,25,0,40,28.0,2017
78,1,0,0,0,2,60.2,2022
79,1,1,215,0,34,69.0,2018
80,1,1,322,0,36,50.0,2020
81,1,1,220,0,27,57.0,2019
82,0,2,17,34995,12,26.22,2019
83,0,2,26,0,24,25.0,2019
84,1,1,210,0,3,60.0,2017
86,1,1,259,0,13,31.5,2020
87,1,0,0,0,47,73.0,2021
88,0,2,19,0,42,17.0,2014
89,1,0,0,0,20,64.0,2021
90,1,0,0,0,46,64.0,2021
91,1,1,215,0,41,69.0,2018
92,0,1,53,0,42,20.004,2017
93,1,1,220,0,40,57.0,2019
94,0,2,27,34600,14,16.365,2016
95,0,2,17,52900,39,20.5,2019
96,1,1,87,0,17,10.042,2015
97,1,1,239,0,33,25.0,2019
98,1,0,0,0,1,31.67,2021
99,1,0,0,0,5,78.0,2022
100,0,1,32,0,26,36.6,2021
101,0,1,32,39995,45,38.0,2019
102,1,1,238,0,16,41.78,2019
103,1,1,208,69900,12,33.89,2013
104,1,1,293,0,43,102.0,2020
105,1,1,259,0,35,31.5,2020
106,1,0,0,0,11,73.0,2021
